;hemisphere;continent;niv_devlp;idh;child_mort;exports;health;imports;income;inflation;life_expec;total_fer;gdpp
Afghanistan;N;As;PED/PMA;0.478;90.2;10;7.58;44.9;1610;9.44;56.2;5.82;553
Algeria;N;Af;PED/PMA;0.745;27.3;38.4;4.17;31.4;12900;16.1;76.5;2.89;4460
Angola;N;Af;PED/PMA;0.586;119;62.3;2.85;42.9;5900;22.4;60.1;6.16;3530
Australia;S;O;PD;0.951;4.8;19.8;8.73;20.9;41400;1.16;82;1.93;51900
Austria;N;E;PD;0.916;4.3;51.3;11;47.8;43200;0.873;80.5;1.44;46900
Bangladesh;N;As;PED/PMA;0.661;49.4;16;3.52;21.8;2440;7.14;70.4;2.33;758
Bahamas;N;AmN;PD;0.812;13.8;35;7.89;43.7;22900;-0.393;73.8;1.86;28000
Brazil;S;AmS;PED/PMA;0.754;19.8;10.7;9.01;11.8;14500;8.41;74.2;1.8;11200
Canada;N;AmN;PD;0.936;5.6;29.1;11.3;31;40700;2.87;81.3;1.63;47400
Chile;S;AmS;PD;0.855;8.7;37.7;7.96;31.3;19400;8.96;79.1;1.88;12900
China;N;As;PED/PMA;0.768;15.7;26.3;5.07;22.6;9530;6.94;74.6;1.59;4560
Denmark;N;E;PD;0.948;4.1;50.5;11.4;43.6;44000;3.22;79.5;1.87;58000
Egypt;N;Af;PED/PMA;0.731;29.1;21.3;4.66;26.6;9860;10.1;70.5;3.19;2600
Spain;N;E;PD;0.905;3.8;25.5;9.54;26.8;32500;0.16;81.9;1.37;30700
United_States;N;AmN;PD;0.921;7.3;12.4;17.9;15.8;49400;1.22;78.7;1.93;48400
France;N;E;PD;0.903;4.2;26.8;11.9;28.1;36900;1.05;81.4;2.03;40600
Greece;N;E;PD;0.887;3.9;22.1;10.3;30.7;28700;0.673;80.4;1.48;26900
Hungary;N;E;PD;0.846;6;81.8;7.33;76.5;22300;2.33;74.5;1.25;13100
India;N;As;PED/PMA;0.633;58.8;22.6;4.05;27.1;4410;8.98;66.2;2.6;1350
Indonesia;S;As;PED/PMA;0.705;33.3;24.3;2.61;22.4;8430;15.3;69.9;2.48;3110
Italy;N;E;PD;0.895;4;25.2;9.53;27.2;36200;0.319;81.7;1.46;35800
Japan;N;As;PD;0.925;3.2;15;9.49;13.6;35800;-1.9;82.8;1.39;44500
Kenya;S;Af;PED/PMA;0.575;62.2;20.7;4.75;33.6;2480;2.09;62.8;4.37;967
Malaysia;N;As;PD;0.803;7.9;86.9;4.39;71;21100;7.27;74.5;2.15;9070
Morocco;N;Af;PED/PMA;0.683;33.5;32.2;5.2;43;6440;0.976;73.5;2.58;2830
Nigeria;N;Af;PED/PMA;0.4;130;25.3;5.07;17.4;5150;104;60.5;5.84;2330
Norway;N;E;PD;0.961;3.2;39.7;9.48;28.5;62300;5.95;81;1.95;87800
New_Zealand;S;O;PD;0.937;6.2;30.3;10.1;28;32300;3.73;80.9;2.17;33700
Pakistan;N;As;PED/PMA;0.544;92.1;13.5;2.2;19.4;4280;10.9;65.3;3.85;1040
Netherlands;N;E;PD;0.941;4.5;72;11.9;63.6;45500;0.848;80.7;1.79;50300
Peru;S;AmS;PED/PMA;0.762;20.3;27.8;5.08;23.8;9960;5.71;77.9;2.54;5020
Philippines;N;As;PED/PMA;0.699;31.9;34.8;3.61;36.6;5600;4.22;69;3.16;2130
Poland;N;E;PD;0.876;6;40.1;7.46;42.1;21800;1.66;76.3;1.41;12600
Portugal;N;E;PD;0.866;3.9;29.9;11;37.4;27200;0.643;79.8;1.39;22500
United_Kingdom;N;E;PD;0.929;5.2;28.2;9.64;30.8;36200;1.57;80.3;1.92;38900
Russia;N;As;PD;0.822;10;29.2;5.08;21.1;23100;14.2;69.2;1.57;10700
Senegal;N;Af;PED/PMA;0.511;66.8;24.9;5.66;40.3;2180;1.85;64;5.06;1000
Singapore;N;As;PD;0.939;2.8;200;3.96;174;72100;-0.046;82.7;1.15;46600
Sweden;N;E;PD;0.947;3;46.2;9.63;40.7;42900;0.991;81.5;1.98;52100
Switzerland;N;E;PD;0.962;4.5;64;11.5;53.3;55500;0.317;82.2;1.52;74600
Thailand;N;As;PED/PMA;0.8;14.9;66.5;3.88;60.8;13500;4.08;76.6;1.55;5080
Tunisia;N;Af;PED/PMA;0.731;17.4;50.5;6.21;55.3;10400;3.82;76.9;2.14;4140
Turkey;N;As;PD;0.838;19.1;20.4;6.74;25.5;18000;7.01;78.2;2.15;10700
Uruguay;S;AmS;PD;0.809;10.6;26.3;8.35;25.4;17100;4.91;76.4;2.08;11900
Vietnam;N;As;PED/PMA;0.703;23.3;72;6.84;80.2;4490;12.1;73.1;1.95;1310
Zambia;S;Af;PED/PMA;0.565;83.1;37;5.89;30.9;3280;14;52;5.4;1460
